Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
646,Linus Karlsson,25,VAN,C,23,3,3,6,28,karlsli01
647,Kieffer Bellows,26,NSH,LW,19,2,2,4,28,belloki01
648,Louis Crevier,23,CHI,D,32,3,1,4,28,crevilo01
649,Vincent Desharnais,28,3TM,D,51,0,3,3,28,deshavi01
650,Victor Mancini,22,2TM,D,31,2,6,8,27,mancivi01
651,Colton Dach,22,CHI,C,25,2,5,7,27,dachco01
652,Brendan Smith,35,DAL,D,32,1,5,6,27,smithbr05
653,Curtis Lazar,29,NJD,C,48,2,3,5,27,lazarcu01
654,Isaiah George,20,NYI,D,33,1,4,5,26,georgis01
655,Simon Nemec,20,NJD,D,27,2,2,4,26,nemecsi01
656,Zack Ostapchuk,21,2TM,C,56,1,3,4,26,ostapza01
657,Zack MacEwen,28,OTT,C,21,2,1,3,26,macewza01
658,Noah Juulsen,27,VAN,D,35,0,0,0,26,juulsno01
659,Rodrigo Abols,29,PHI,C,22,2,3,5,25,abolsro01
660,Nicolas Deslauriers,33,PHI,LW,31,2,1,3,25,deslani01
661,Jeremy Lauzon,27,NSH,D,28,0,1,1,25,lauzoje01
662,Nick DeSimone,30,UTA,D,20,1,5,6,24,desimni01
663,Fraser Minten,20,2TM,C,21,3,2,5,24,mintefr01
664,Ben Jones,25,MIN,F,26,0,0,0,24,jonesbe01
665,T.J. Brodie,34,CHI,D,54,2,8,10,23,broditj01
666,Ethen Frank,26,WSH,F,24,4,3,7,23,franket01
667,Phillip Di Giuseppe,31,VAN,LW,20,1,5,6,23,digiuph01
668,Jack Johnson,38,CBJ,D,41,0,6,6,23,johnsja02
669,Scott Morrow,22,CAR,D,14,1,5,6,23,morrosc02
670,Jani Nyman,20,SEA,RW,12,3,3,6,22,nymanja01
671,Sam Rinzel,20,CHI,D,9,0,5,5,22,rinzesa01
672,Artyom Levshunov,19,CHI,D,18,0,6,6,21,levshar01
673,Nick Leddy,33,STL,D,31,2,3,5,21,leddyni01
674,Arthur Kaliyev,23,NYR,RW,14,3,1,4,21,kaliyar01
675,Fabian Lysell,22,BOS,RW,12,1,2,3,21,lyselfa01
676,Jacob Bryson,27,BUF,D,48,0,7,7,20,brysoja01
677,Vladislav Kolyachonok,23,2TM,D,35,2,5,7,20,kolyavl01
678,Nikita Nesterenko,23,ANA,C,20,4,2,6,20,nesteni02
679,Derek Ryan,38,EDM,C,36,1,5,6,20,ryande01
680,Akil Thomas,25,LAK,C,25,1,2,3,20,thomaak01
681,Marc-Édouard Vlasic,37,SJS,D,27,1,2,3,20,vlasima01
682,John Hayden,29,SEA,C,20,1,1,2,20,haydejo01
683,Brennan Othmann,22,NYR,LW,22,0,2,2,20,othmabr01
684,Ethan Del Mastro,22,CHI,D,24,2,4,6,19,delmaet01
685,Anthony Richard,28,PHI,C,15,2,4,6,19,richaan01
686,Ryan Shea,27,PIT,D,39,2,3,5,19,sheary01
687,John Klingberg,32,EDM,D,11,1,3,4,19,klingjo01
688,Tyson Barrie,33,CGY,D,13,1,2,3,19,barrity01
689,Elias Pettersson,20,VAN,D,28,1,2,3,19,petteel02
690,Mitchell Stephens,27,SEA,C,28,1,2,3,19,stephmi01
691,Scott Perunovich,26,2TM,D,35,2,7,9,18,perunsc01
692,Luca Del Bel Belluz,21,CBJ,C,15,2,6,8,18,delbelu01
693,Hendrix Lapierre,22,WSH,C,27,0,8,8,18,lapiehe01
694,Andre Lee,24,LAK,LW,19,1,2,3,18,leean02
695,Nicolas Aubé-Kubel,28,2TM,RW,22,1,1,2,18,aubekni01
696,Nolan Allan,21,CHI,D,43,1,7,8,17,allanno01
697,Matthew Kessel,24,STL,D,29,0,3,3,17,kessema01
698,Maveric Lamoureux,21,UTA,D,15,1,2,3,17,lamouma01
699,Andreas Englund,29,2TM,D,35,1,2,3,17,engluan01
700,Max Jones,26,2TM,LW,26,1,1,2,17,jonesma03
701,Matt Martin,35,NYI,LW,32,0,2,2,17,martima02
702,Noah Philp,26,EDM,F,15,0,2,2,17,philpno01
703,Joey Anderson,26,CHI,RW,18,0,1,1,17,anderjo08
704,Ryan Leonard,20,WSH,RW,9,1,0,1,17,leonary01
705,Oliver Kapanen,21,MTL,C,18,0,2,2,16,kapanol01
706,Cale Fleury,26,SEA,D,14,0,1,1,16,fleurca01
707,Daniil Gushchin,22,SJS,LW,12,0,1,1,16,gushcda01
708,Ville Koivunen,21,PIT,RW,8,0,7,7,15,koivuvi01
709,Anthony Mantha,30,CGY,RW,13,4,3,7,15,manthan01
710,Jordan Harris,24,CBJ,D,33,1,4,5,15,harrijo01
711,Lucas Carlsson,27,SJS,D,13,1,3,4,15,carlslu01
712,Owen Pickering,21,PIT,D,25,1,2,3,15,pickeow01
713,Spencer Stastney,25,NSH,D,23,0,3,3,15,stastsp01
714,Walker Duehr,27,2TM,F,24,2,1,3,15,duehrwa01
715,Patrick Giles,25,2TM,F,17,1,0,1,15,gilespa01
716,Ryan Winterton,21,SEA,C,12,0,1,1,15,wintery01
717,Ivan Miroshnichenko,20,WSH,LW,18,1,3,4,14,mirosiv01
718,Kevin Korchinski,20,CHI,D,16,1,1,2,14,korchke01
719,Ryan Reaves,38,TOR,RW,35,0,2,2,14,reavery01
720,Joshua Roy,21,MTL,RW,12,2,0,2,14,royjo01
721,Ty Smith,24,CAR,D,8,1,1,2,14,smithty01
722,Michael Pezzetta,26,MTL,C,25,0,0,0,14,pezzemi01
723,Austin Watson,33,DET,LW,13,3,0,3,13,watsoau01
724,Kailer Yamamoto,26,UTA,RW,12,2,1,3,13,yamamka01
725,Marc McLaughlin,25,2TM,F,14,2,1,3,13,mclauma01
726,Cole Reinhardt,24,OTT,LW,17,1,1,2,13,reinhco01
727,Emil Bemström,25,PIT,C,14,0,1,1,13,bemstem01
728,Jeff Malott,28,LAK,F,12,0,1,1,13,malotje01
729,Seamus Casey,21,NJD,D,14,4,4,8,12,caseyse01
730,Erik Gudbranson,33,CBJ,D,16,0,4,4,12,gudbrer01
731,Cameron Lund,20,SJS,C,11,2,1,3,12,lundca01
732,Callahan Burke,27,VEG,C,7,1,0,1,12,burkeca01
733,Ville Heinola,23,WPG,D,18,0,1,1,12,heinovi01
734,Jack St. Ivany,25,PIT,D,19,0,1,1,12,stivajo01
735,Tyson Kozak,22,BUF,C,21,3,2,5,11,kozakty01
736,Juha Jaaska,26,CAR,F,18,0,4,4,11,jaaskju01
737,Rutger McGroarty,20,PIT,RW,8,1,2,3,11,mcgroru01
738,Ben Hutton,31,VEG,D,11,0,2,2,11,huttobe01
739,Patrick Brown,32,BOS,C,15,0,1,1,11,brownpa02
740,Brendan Gaunce,30,MIN,C,12,0,1,1,11,gauncbr01
741,Calum Ritchie,20,COL,C,7,1,0,1,11,ritchca01
742,Jonas Røndbjerg,25,VEG,RW,13,0,0,0,11,rondbjo01
743,Olle Lycksell,25,PHI,RW,19,0,5,5,10,lycksol01
744,Logan Mailloux,21,MTL,D,7,2,2,4,10,mailllo01
745,Oliver Moore,20,CHI,C,9,0,4,4,10,mooreol01
